theta,abs_theta,delta_norm,delta_norm_over_abs_theta,delta_norm_over_theta_squared,sdp_energy,physical_energy,sdp_minus_physical,sdp_status
-0.01,0.01,0.002162019491888679,0.2162019491888679,21.62019491888679,-2.50821512830019,-2.505287884450149,-0.0029272438500407283,OPTIMAL
-0.005,0.005,0.001076342451231761,0.2152684902463522,43.05369804927044,-2.4967470197354436,-2.4952830017876053,-0.0014640179478382365,OPTIMAL
0.005,0.005,0.0010763721348977945,0.2152744269795589,43.054885395911775,-2.476747034369154,-2.475283001787608,-0.0014640325815462596,OPTIMAL
0.01,0.01,0.0021632078698662328,0.21632078698662327,21.632078698662326,-2.468215136528848,-2.465287884450144,-0.0029272520787042566,OPTIMAL
