abs_theta,central_delta_derivative_norm,central_delta_derivative_components
0.002,0.00024966023474660965,[-0.00017869050317198543;-0.00017435577676083724]
0.005,0.00028039626251507194,[-0.00020554789799120954;-0.00019071477568299855]
0.01,0.00017156655602487995,[-0.00012014464498832922;-0.0001224759054951896]
0.02,0.00029487712713697725,[-0.00020850907357927717;-0.00020851015885003932]
