theta,phys_bond_kinetic_1_2,sdp_bond_kinetic_1_2,delta_bond_kinetic_1_2,delta_over_theta_bond_kinetic_1_2,phys_bond_kinetic_3_4,sdp_bond_kinetic_3_4,delta_bond_kinetic_3_4,delta_over_theta_bond_kinetic_3_4
-0.02,1.4142256228098673,1.415993536016992,0.0017679132071246606,-0.08839566035623303,1.4142256228098673,1.4159935359944802,0.0017679131846128904,-0.08839565923064452
-0.01,1.4142165741146218,1.4151004934668296,0.0008839193522078848,-0.08839193522078848,1.414216574114622,1.415100493469362,0.0008839193547400814,-0.08839193547400814
-0.005,1.4142143148877504,1.4146566443625075,0.00044232947475708606,-0.08846589495141721,1.4142143148877508,1.414656644495982,0.0004423296082312067,-0.08846592164624134
-0.002,1.4142136827350613,1.414390792378,0.00017710964293859988,-0.08855482146929994,1.4142136827350615,1.4143907923412342,0.00017710960617267624,-0.08855480308633812
0.002,1.4142136826812384,1.4143900775621643,0.00017639488092591193,0.08819744046295597,1.4142136826812388,1.4143900948643044,0.0001764121830656329,0.08820609153281644
0.005,1.414214314046752,1.4146545880425292,0.00044027399577717397,0.0880547991554348,1.4142143140467518,1.4146547365072262,0.0004404224604743767,0.08808449209487534
0.01,1.4142165673866098,1.415098083845918,0.0008815164593081182,0.08815164593081182,1.4142165673866096,1.4150980372232398,0.0008814698366301776,0.08814698366301776
0.02,1.4142255689850864,1.415985141829268,0.0017595728441814895,0.08797864220907448,1.4142255689850862,1.4159851417633451,0.0017595727782588888,0.08797863891294444
