theta,abs_theta,delta_norm,delta_norm_over_abs_theta,delta_norm_over_theta_squared,sdp_energy,physical_energy,sdp_minus_physical,sdp_status
-0.02,0.02,0.0025002068186959843,0.1250103409347992,6.250517046739961,-1.6798119869445096,-1.676879431705485,-0.0029325552390246923,OPTIMAL
-0.01,0.01,0.0012500507377269647,0.12500507377269648,12.500507377269647,-1.6683259016919547,-1.6668605412985467,-0.001465360393408055,OPTIMAL
-0.005,0.005,0.0006255484366193017,0.12510968732386032,25.021937464772066,-1.6625882728049775,-1.6618558219797581,-0.0007324508252193329,OPTIMAL
-0.002,0.002,0.0002504708330733916,0.12523541653669581,62.617708268347904,-1.6591474288693169,-1.658854501046016,-0.0002929278233008148,OPTIMAL
0.002,0.002,0.0002494722676989349,0.12473613384946744,62.368066924733725,-1.6551472458428265,-1.6548545009871432,-0.00029274485568331343,OPTIMAL
0.005,0.005,0.0006227464452310449,0.12454928904620899,24.909857809241796,-1.6525871310421842,-1.6518558210598426,-0.0007313099823416103,OPTIMAL
0.01,0.01,0.0012466195654328362,0.12466195654328362,12.466195654328361,-1.6483213289191267,-1.6468605339391384,-0.0014607949799883002,OPTIMAL
0.02,0.02,0.0024884117336105454,0.12442058668052727,6.221029334026364,-1.6397936943343305,-1.6368793728279658,-0.0029143215063647254,OPTIMAL
